date,MRK-RF,SMB,HML,RF
20160104,-1.59,-0.83,0.55,0
20160105,0.12,-0.23,0.03,0
20160106,-1.35,-0.12,-0.03,0
20160107,-2.44,-0.29,0.06,0
20160108,-1.11,-0.48,-0.04,0
20160111,-0.06,-0.63,0.33,0
20160112,0.72,-0.39,-0.8,0
20160113,-2.67,-0.71,0.8,0
20160114,1.65,-0.02,-0.37,0
20160115,-2.14,0.42,-0.19,0
20160119,-0.2,-1.34,-0.08,0
20160120,-0.94,1.86,-1.23,0
20160121,0.45,-0.49,0.02,0
20160122,2.08,0.23,-0.22,0
20160125,-1.71,-0.36,-0.98,0
20160126,1.52,0.38,1.18,0
20160127,-1.11,-0.55,1.7,0
20160128,0.49,-0.48,1.23,0
20160129,2.57,0.46,0.38,0
20160201,-0.04,-0.2,-0.97,0.001
20160202,-2,-0.01,-0.38,0.001
20160203,0.46,-0.3,0.44,0.001
20160204,0.27,0.2,0.34,0.001
20160205,-2.06,-1.1,1.69,0.001
20160208,-1.51,-0.03,0.88,0.001
20160209,-0.09,-0.47,-0.31,0.001
20160210,0.01,-0.07,-0.52,0.001
20160211,-1.17,0.52,-1.52,0.001
20160212,1.98,-0.55,1.1,0.001
20160216,1.78,0.55,-0.54,0.001
20160217,1.75,-0.06,-0.62,0.001
20160218,-0.51,0.02,0.19,0.001
20160219,0.06,0.43,-0.6,0.001
20160222,1.43,-0.27,0.24,0.001
20160223,-1.22,0.49,-0.55,0.001
20160224,0.53,0.68,-0.29,0.001
20160225,1.1,-0.42,0.23,0.001
20160226,-0.01,0.8,0.32,0.001
20160229,-0.69,0.66,0.24,0.001
20160301,2.34,-0.64,0.34,0.001
20160302,0.54,0.49,0.72,0.001
20160303,0.51,0.45,0.65,0.001
20160304,0.37,0.27,0.29,0.001
20160307,0.21,1.21,0.53,0.001
20160308,-1.27,-1.14,-0.49,0.001
20160309,0.5,0.02,0.4,0.001
20160310,-0.11,-0.82,0.62,0.001
20160311,1.69,0.25,0.22,0.001
20160314,-0.12,-0.06,-0.91,0.001
20160315,-0.36,-1.44,0.65,0.001
20160316,0.63,0.1,-0.06,0.001
20160317,0.72,0.83,0.57,0.001
20160318,0.54,0.33,-0.17,0.001
20160321,0.1,-0.2,-0.31,0.001
20160322,-0.05,-0.01,-0.44,0.001
20160323,-0.86,-1.16,-0.13,0.001
20160324,0,0.46,-0.06,0.001
20160328,0.04,-0.02,0.13,0.001
20160329,1.07,1.77,-1.19,0.001
20160330,0.41,-0.29,0.17,0.001
20160331,-0.11,0.45,-0.48,0.001
20160401,0.64,-0.25,-0.6,0
20160404,-0.41,-0.24,-0.75,0
20160405,-0.94,-0.08,-0.36,0
20160406,1.14,0.17,-0.78,0
20160407,-1.23,-0.04,-0.37,0
20160408,0.29,0.01,0.66,0
20160411,-0.28,-0.11,0.94,0
20160412,0.99,-0.06,0.87,0
20160413,1.23,0.84,0.35,0
20160414,0.03,-0.28,0.17,0
20160415,-0.04,0.34,-0.35,0
20160418,0.65,0.1,-0.22,0
20160419,0.29,-0.36,1.47,0
20160420,0.15,-0.1,0.55,0
20160421,-0.47,0.11,-0.57,0
20160422,0.12,0.81,0.53,0
20160425,-0.24,-0.57,-0.19,0
20160426,0.29,0.65,0.77,0
20160427,0.21,0.09,0.69,0
20160428,-0.96,-0.15,0.05,0
20160429,-0.5,-0.14,0.4,0
20160502,0.79,0,-0.38,0.001
20160503,-1.05,-0.65,-0.47,0.001
20160504,-0.66,-0.15,0.03,0.001
20160505,-0.08,-0.5,0.06,0.001
20160506,0.38,0.05,0.25,0.001
20160509,0.05,0.38,-1.47,0.001
